year,month,wdsp,station
2014,12,12.3,processed\Valentia_Observatory
2015,1,14.0,processed\Valentia_Observatory
2015,2,10.1,processed\Valentia_Observatory
2015,3,11.4,processed\Valentia_Observatory
2015,4,8.0,processed\Valentia_Observatory
2015,5,10.3,processed\Valentia_Observatory
2015,6,8.5,processed\Valentia_Observatory
2015,7,9.9,processed\Valentia_Observatory
2015,8,8.2,processed\Valentia_Observatory
2015,9,8.1,processed\Valentia_Observatory
2015,10,7.5,processed\Valentia_Observatory
2015,11,13.6,processed\Valentia_Observatory
2015,12,14.8,processed\Valentia_Observatory
2016,1,12.4,processed\Valentia_Observatory
2016,2,12.2,processed\Valentia_Observatory
2016,3,9.6,processed\Valentia_Observatory
2016,4,8.3,processed\Valentia_Observatory
2016,5,7.4,processed\Valentia_Observatory
2016,6,8.2,processed\Valentia_Observatory
2016,7,8.2,processed\Valentia_Observatory
2016,8,9.2,processed\Valentia_Observatory
2016,9,9.0,processed\Valentia_Observatory
2016,10,7.9,processed\Valentia_Observatory
2016,11,8.1,processed\Valentia_Observatory
2016,12,9.7,processed\Valentia_Observatory
2017,1,8.7,processed\Valentia_Observatory
2017,2,11.5,processed\Valentia_Observatory
2017,3,10.9,processed\Valentia_Observatory
2017,4,7.1,processed\Valentia_Observatory
2017,5,7.8,processed\Valentia_Observatory
2017,6,10.0,processed\Valentia_Observatory
2017,7,7.9,processed\Valentia_Observatory
2017,8,8.5,processed\Valentia_Observatory
2017,9,9.5,processed\Valentia_Observatory
2017,10,10.3,processed\Valentia_Observatory
2017,11,9.2,processed\Valentia_Observatory
2017,12,11.0,processed\Valentia_Observatory
2018,1,13.7,processed\Valentia_Observatory
2018,3,8.7,processed\Valentia_Observatory
2018,4,9.5,processed\Valentia_Observatory
2018,5,7.9,processed\Valentia_Observatory
2018,6,6.8,processed\Valentia_Observatory
2018,7,6.9,processed\Valentia_Observatory
2018,8,8.4,processed\Valentia_Observatory
2018,9,8.9,processed\Valentia_Observatory
2018,10,8.6,processed\Valentia_Observatory
2018,11,11.1,processed\Valentia_Observatory
2018,12,11.4,processed\Valentia_Observatory
2019,1,9.2,processed\Valentia_Observatory
2019,2,12.9,processed\Valentia_Observatory
2019,3,11.4,processed\Valentia_Observatory
2019,4,10.3,processed\Valentia_Observatory
2019,5,8.2,processed\Valentia_Observatory
2019,6,8.6,processed\Valentia_Observatory
2019,7,7.8,processed\Valentia_Observatory
2019,8,10.1,processed\Valentia_Observatory
2019,9,9.2,processed\Valentia_Observatory
2019,10,9.7,processed\Valentia_Observatory
2019,11,10.0,processed\Valentia_Observatory
2019,12,12.0,processed\Valentia_Observatory
2020,1,11.1,processed\Valentia_Observatory
2020,2,17.2,processed\Valentia_Observatory
2020,3,11.3,processed\Valentia_Observatory
2020,4,6.4,processed\Valentia_Observatory
2020,5,8.8,processed\Valentia_Observatory
2020,6,9.0,processed\Valentia_Observatory
2020,7,9.3,processed\Valentia_Observatory
2020,8,8.0,processed\Valentia_Observatory
2020,9,8.1,processed\Valentia_Observatory
2020,10,11.6,processed\Valentia_Observatory
2020,11,10.3,processed\Valentia_Observatory
2020,12,11.9,processed\Valentia_Observatory
2021,1,8.3,processed\Valentia_Observatory
2021,2,12.5,processed\Valentia_Observatory
2021,3,10.2,processed\Valentia_Observatory
2021,4,7.6,processed\Valentia_Observatory
2021,5,9.2,processed\Valentia_Observatory
2021,6,7.6,processed\Valentia_Observatory
2021,7,6.3,processed\Valentia_Observatory
2021,8,7.1,processed\Valentia_Observatory
2021,9,6.9,processed\Valentia_Observatory
2021,10,9.2,processed\Valentia_Observatory
2021,11,8.6,processed\Valentia_Observatory
2021,12,11.0,processed\Valentia_Observatory
2022,1,9.0,processed\Valentia_Observatory
2022,2,14.4,processed\Valentia_Observatory
2022,3,8.4,processed\Valentia_Observatory
2022,4,8.5,processed\Valentia_Observatory
2022,5,9.2,processed\Valentia_Observatory
2022,6,9.2,processed\Valentia_Observatory
2022,7,7.0,processed\Valentia_Observatory
2022,8,6.3,processed\Valentia_Observatory
2022,9,7.7,processed\Valentia_Observatory
2022,10,10.8,processed\Valentia_Observatory
2022,11,13.0,processed\Valentia_Observatory
2022,12,9.2,processed\Valentia_Observatory
2023,1,10.3,processed\Valentia_Observatory
2023,2,9.5,processed\Valentia_Observatory
2023,3,10.7,processed\Valentia_Observatory
2023,4,9.4,processed\Valentia_Observatory
2023,5,7.2,processed\Valentia_Observatory
2023,6,7.2,processed\Valentia_Observatory
2023,7,9.9,processed\Valentia_Observatory
2023,8,8.8,processed\Valentia_Observatory
2023,9,8.8,processed\Valentia_Observatory
2023,10,8.0,processed\Valentia_Observatory
2023,11,11.3,processed\Valentia_Observatory
2023,12,13.2,processed\Valentia_Observatory
2024,1,9.6,processed\Valentia_Observatory
2024,2,11.0,processed\Valentia_Observatory
2024,3,10.7,processed\Valentia_Observatory
2024,4,9.9,processed\Valentia_Observatory
2024,5,7.0,processed\Valentia_Observatory
2024,6,8.4,processed\Valentia_Observatory
2024,7,7.5,processed\Valentia_Observatory
2024,8,10.1,processed\Valentia_Observatory
2024,9,7.7,processed\Valentia_Observatory
2024,10,8.8,processed\Valentia_Observatory
2024,11,8.7,processed\Valentia_Observatory
2024,12,10.6,processed\Valentia_Observatory
2025,1,10.0,processed\Valentia_Observatory
2025,2,11.7,processed\Valentia_Observatory
2025,3,8.3,processed\Valentia_Observatory
2025,4,7.9,processed\Valentia_Observatory
2025,5,7.7,processed\Valentia_Observatory
2025,6,8.9,processed\Valentia_Observatory
2025,7,7.7,processed\Valentia_Observatory
2025,8,8.2,processed\Valentia_Observatory
2025,9,10.2,processed\Valentia_Observatory
2025,10,10.3,processed\Valentia_Observatory
2025,11,9.2,processed\Valentia_Observatory
